Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
07/12/2019,105,Ozone,Alpine,06-073-1006,AQS,6,105,0,.,71,13
07/13/2019,119,Ozone,Alpine,06-073-1006,AQS,6,119,0,.,69,13
07/14/2019,84,Ozone,Alpine,06-073-1006,AQS,6,84,0,21,75,9
07/15/2019,129,Ozone,Alpine,06-073-1006,AQS,7,129,0,.,74,29
07/16/2019,73,PM2.5,Pala Airpad,06-073-1201,AQS,7,51,0,.,73,15
07/17/2019,69,PM2.5,Pala Airpad,06-073-1201,AQS,5,49,0,22,69,21
07/18/2019,64,PM2.5,Pala Airpad,06-073-1201,AQS,5,51,0,.,64,15
07/19/2019,60,PM2.5,Pala Airpad,06-073-1201,AQS,5,45,0,.,60,14
07/20/2019,159,Ozone,Pala Airpad,06-073-1201,AQS,6,159,0,12,53,10
07/21/2019,46,PM2.5,Pala Airpad,06-073-1201,AQS,6,45,0,.,46,8
07/22/2019,71,Ozone,Alpine,06-073-1006,AQS,6,71,0,.,59,18
07/23/2019,100,Ozone,Alpine,06-073-1006,AQS,7,100,0,22,61,17
07/24/2019,105,Ozone,Alpine,06-073-1006,AQS,7,105,0,.,63,30
07/25/2019,77,Ozone,Alpine,06-073-1006,AQS,7,77,0,.,61,25
07/26/2019,84,Ozone,Alpine,06-073-1006,AQS,7,84,0,33,65,19
07/27/2019,105,Ozone,Alpine,06-073-1006,AQS,7,105,0,.,66,15
07/28/2019,84,Ozone,Alpine,06-073-1006,AQS,6,84,0,.,68,12
07/29/2019,101,Ozone,Alpine,06-073-1006,AQS,6,101,0,24,69,16
07/30/2019,93,Ozone,Alpine,06-073-1006,AQS,6,93,0,.,77,20
07/31/2019,93,Ozone,Alpine,06-073-1006,AQS,6,93,0,.,76,17
08/01/2019,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,27,78,15
08/02/2019,112,Ozone,Alpine,06-073-1006,AQS,7,112,0,.,72,17
