Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/16/2018,45,PM2.5,Donovan,06-073-1014,AQS,6,45,0,.,45,30
3/17/2018,44,Ozone,La Posta Reservation,06-073-1011,AQS,6,44,0,.,25,22
3/18/2018,46,Ozone,La Posta Reservation,06-073-1011,AQS,6,46,0,6,18,18
3/19/2018,50,Ozone,La Posta Reservation,06-073-1011,AQS,8,50,0,.,35,28
3/20/2018,74,Ozone,La Posta Reservation,06-073-1011,AQS,8,74,0,.,49,28
3/21/2018,71,Ozone,La Posta Reservation,06-073-1011,AQS,8,71,0,32,47,39
3/22/2018,50,PM2.5,Donovan,06-073-1014,AQS,8,34,0,.,50,27
3/23/2018,45,Ozone,Alpine,06-073-1006,AQS,6,45,0,13,38,20
3/24/2018,49,Ozone,La Posta Reservation,06-073-1011,AQS,7,49,0,15,23,14
3/25/2018,50,Ozone,La Posta Reservation,06-073-1011,AQS,6,50,0,.,34,17
3/26/2018,49,Ozone,Alpine,06-073-1006,AQS,7,49,0,.,30,29
3/27/2018,54,Ozone,Alpine,06-073-1006,AQS,9,54,0,25,38,33
3/28/2018,54,Ozone,Alpine,06-073-1006,AQS,9,54,0,.,41,37
3/29/2018,74,Ozone,Alpine,06-073-1006,AQS,8,74,0,.,63,34
3/30/2018,67,Ozone,Alpine,06-073-1006,AQS,10,67,0,20,62,29
3/31/2018,71,Ozone,La Posta Reservation,06-073-1011,AQS,10,71,0,.,55,22
4/1/2018,64,Ozone,La Posta Reservation,06-073-1011,AQS,7,64,0,.,59,11
4/2/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,7,58,0,19,62,23
4/3/2018,74,Ozone,La Posta Reservation,06-073-1011,AQS,6,74,0,18,54,29
4/4/2018,77,Ozone,La Posta Reservation,06-073-1011,AQS,6,77,0,20,58,18
4/5/2018,71,Ozone,La Posta Reservation,06-073-1011,AQS,8,71,0,21,62,20
4/6/2018,58,PM2.5,Pala Airpad,06-073-1201,AQS,8,51,0,.,58,25
4/7/2018,58,PM2.5,Pala Airpad,06-073-1201,AQS,7,33,0,.,58,14
4/8/2018,51,PM2.5,Pala Airpad,06-073-1201,AQS,7,47,0,18,51,23
4/9/2018,71,PM2.5,Donovan,06-073-1014,AQS,9,64,0,.,71,35
4/10/2018,90,Ozone,Alpine,06-073-1006,AQS,10,90,0,.,79,40
4/11/2018,61,Ozone,Alpine,06-073-1006,AQS,7,61,0,25,59,31
4/12/2018,67,Ozone,Alpine,06-073-1006,AQS,6,67,0,.,57,26
4/13/2018,71,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,10,71,0,.,61,32
4/14/2018,93,Ozone,Camp Pendleton,06-073-1008,AQS,11,93,0,30,44,38
4/15/2018,100,Ozone,Alpine,06-073-1006,AQS,10,100,0,.,53,27
4/16/2018,72,PM2.5,La Posta Reservation,06-073-1011,AQS,7,49,0,.,72,24
4/17/2018,64,Ozone,Alpine,06-073-1006,AQS,7,64,0,15,57,17
4/18/2018,90,Ozone,La Posta Reservation,06-073-1011,AQS,7,90,0,.,54,31
4/19/2018,50,Ozone,La Posta Reservation,06-073-1011,AQS,6,50,0,.,43,18
4/20/2018,61,Ozone,Alpine,06-073-1006,AQS,7,61,0,20,37,20
4/21/2018,84,Ozone,La Posta Reservation,06-073-1011,AQS,9,84,0,.,56,31
4/22/2018,90,Ozone,Alpine,06-073-1006,AQS,10,90,0,.,58,25
4/23/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,7,93,0,24,60,20
4/24/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,6,87,0,.,62,22
4/25/2018,80,Ozone,La Posta Reservation,06-073-1011,AQS,5,80,0,.,68,20
4/26/2018,84,Ozone,La Posta Reservation,06-073-1011,AQS,5,84,0,38,65,18
4/27/2018,77,Ozone,La Posta Reservation,06-073-1011,AQS,6,77,0,.,66,19
4/28/2018,67,Ozone,Alpine,06-073-1006,AQS,6,67,0,.,66,16
4/29/2018,64,PM2.5,Pala Airpad,06-073-1201,AQS,5,50,0,24,64,9
4/30/2018,63,PM2.5,Pala Airpad,06-073-1201,AQS,5,49,0,.,63,20
5/1/2018,58,Ozone,Alpine,06-073-1006,AQS,6,58,0,.,50,25
5/2/2018,57,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,13,57,24
5/3/2018,58,Ozone,Alpine,06-073-1006,AQS,7,58,0,.,47,25
5/4/2018,101,Ozone,Kearny Villa Rd.,06-073-1016,AQS,7,101,0,34,61,34
5/5/2018,129,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,8,129,0,20,73,28
5/6/2018,100,Ozone,Alpine,06-073-1006,AQS,6,100,0,.,74,18
5/7/2018,105,Ozone,La Posta Reservation,06-073-1011,AQS,6,105,0,.,59,22
5/8/2018,100,Ozone,La Posta Reservation,06-073-1011,AQS,6,100,0,39,56,23
5/9/2018,115,Ozone,La Posta Reservation,06-073-1011,AQS,6,115,0,29,62,18
5/10/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,6,87,0,26,64,22
5/11/2018,59,PM2.5,Pala Airpad,06-073-1201,AQS,5,49,0,19,59,21
5/12/2018,54,PM2.5,Pala Airpad,06-073-1201,AQS,6,48,0,.,54,15
5/13/2018,51,Ozone,La Posta Reservation,06-073-1011,AQS,5,51,0,.,31,16
5/14/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,5,61,0,26,33,22
5/15/2018,84,Ozone,La Posta Reservation,06-073-1011,AQS,6,84,.,.,45,22
5/16/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,5,61,0,.,41,19
5/17/2018,74,Ozone,La Posta Reservation,06-073-1011,AQS,5,74,0,17,32,22
5/18/2018,48,Ozone,La Posta Reservation,06-073-1011,AQS,6,48,0,.,36,24
5/19/2018,58,Ozone,La Posta Reservation,06-073-1011,AQS,7,58,0,.,46,16
5/20/2018,54,Ozone,La Posta Reservation,06-073-1011,AQS,6,54,0,25,45,12
5/21/2018,47,Ozone,La Posta Reservation,06-073-1011,AQS,6,47,0,.,38,21
5/22/2018,47,Ozone,La Posta Reservation,06-073-1011,AQS,5,47,0,.,43,17
5/23/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,5,61,0,14,38,23
5/24/2018,43,PM2.5,Pala Airpad,06-073-1201,AQS,6,38,0,.,43,18
5/25/2018,44,Ozone,Alpine,06-073-1006,AQS,5,44,0,.,22,20
5/26/2018,41,Ozone,La Posta Reservation,06-073-1011,AQS,5,41,0,17,20,14
5/27/2018,50,Ozone,La Posta Reservation,06-073-1011,AQS,5,50,0,.,35,8
5/28/2018,67,Ozone,La Posta Reservation,06-073-1011,AQS,5,67,0,.,43,9
5/29/2018,100,Ozone,La Posta Reservation,06-073-1011,AQS,6,100,0,21,54,18
5/30/2018,67,Ozone,La Posta Reservation,06-073-1011,AQS,5,67,0,.,57,22
5/31/2018,51,Ozone,La Posta Reservation,06-073-1011,AQS,5,51,0,.,33,21
6/1/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,7,93,0,30,36,18
6/2/2018,97,Ozone,Alpine,06-073-1006,AQS,6,97,0,.,48,19
6/3/2018,84,Ozone,La Posta Reservation,06-073-1011,AQS,6,84,4,.,61,12
6/4/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,6,87,0,30,61,19
6/5/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,5,93,0,.,65,19
6/6/2018,71,Ozone,Alpine,06-073-1006,AQS,5,71,0,.,63,18
6/7/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,5,87,0,41,58,19
6/8/2018,126,Ozone,La Posta Reservation,06-073-1011,AQS,6,126,0,.,56,25
6/9/2018,112,Ozone,Alpine,06-073-1006,AQS,7,112,0,.,56,23
6/10/2018,64,Ozone,La Posta Reservation,06-073-1011,AQS,6,64,0,34,61,15
6/11/2018,101,Ozone,Alpine,06-073-1006,AQS,6,101,0,.,59,21
6/12/2018,105,Ozone,Alpine,06-073-1006,AQS,6,105,0,.,59,20
6/13/2018,74,Ozone,Alpine,06-073-1006,AQS,7,74,0,36,54,20
6/14/2018,77,Ozone,Alpine,06-073-1006,AQS,6,77,0,.,60,24
6/15/2018,67,Ozone,Alpine,06-073-1006,AQS,6,67,0,.,60,20
6/16/2018,60,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,15,60,13
6/17/2018,53,PM2.5,Pala Airpad,06-073-1201,AQS,3,41,0,.,53,8
6/18/2018,71,Ozone,La Posta Reservation,06-073-1011,AQS,5,71,0,.,27,16
6/19/2018,90,Ozone,La Posta Reservation,06-073-1011,AQS,6,90,0,32,41,19
6/20/2018,112,Ozone,La Posta Reservation,06-073-1011,AQS,6,112,0,.,57,20
6/21/2018,133,Ozone,Alpine,06-073-1006,AQS,6,133,0,.,59,20
6/22/2018,133,Ozone,Alpine,06-073-1006,AQS,6,133,0,24,62,19
6/23/2018,100,Ozone,La Posta Reservation,06-073-1011,AQS,6,100,0,.,60,15
6/24/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,5,87,0,.,57,8
6/25/2018,97,Ozone,La Posta Reservation,06-073-1011,AQS,6,97,0,34,55,17
6/26/2018,112,Ozone,La Posta Reservation,06-073-1011,AQS,6,112,0,.,56,17
6/27/2018,112,Ozone,La Posta Reservation,06-073-1011,AQS,6,112,0,.,44,18
6/28/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,5,93,0,26,49,22
6/29/2018,58,PM2.5,Pala Airpad,06-073-1201,AQS,6,49,0,.,58,18
6/30/2018,63,PM2.5,Pala Airpad,06-073-1201,AQS,5,54,0,.,63,10
7/1/2018,64,Ozone,La Posta Reservation,06-073-1011,AQS,6,64,0,33,53,10
7/2/2018,112,Ozone,La Posta Reservation,06-073-1011,AQS,5,112,0,.,29,14
7/3/2018,87,Ozone,La Posta Reservation,06-073-1011,AQS,5,87,0,.,37,16
7/4/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,5,93,0,18,42,11
7/5/2018,101,Ozone,Alpine,06-073-1006,AQS,7,101,0,.,63,21
7/6/2018,129,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,129,0,.,64,23
7/7/2018,108,Ozone,Alpine,06-073-1006,AQS,9,108,0,50,70,26
7/8/2018,93,Ozone,La Posta Reservation,06-073-1011,AQS,10,93,0,.,69,24
7/9/2018,74,Ozone,La Posta Reservation,06-073-1011,AQS,8,74,0,.,63,29
7/10/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,43,0,20,62,19
7/11/2018,67,Ozone,Alpine,06-073-1006,AQS,7,67,0,.,62,16
7/12/2018,59,PM2.5,Pala Airpad,06-073-1201,AQS,5,58,0,.,59,17
7/13/2018,56,PM2.5,Pala Airpad,06-073-1201,AQS,6,48,0,35,56,13
7/14/2018,55,PM2.5,Pala Airpad,06-073-1201,AQS,6,50,0,.,55,11
7/15/2018,55,PM2.5,Pala Airpad,06-073-1201,AQS,6,48,0,.,55,9
7/16/2018,54,PM2.5,Pala Airpad,06-073-1201,AQS,7,54,0,20,54,17
